--- 
# IPCG 3YP data file 
# taes1g09@ecs.soton.ac.uk 
--- 
q1: 4/4 
q2: 4/4 
--- 
---
d: 444
d: 444
d: 444
0: 666
d: 444
1: 666
d: 444
1: 404
d: 444
1: 428
1: 458
d: 444
0: 404
0: 404
1: 404
1: 428
d: 444
d: 444
1: 463
d: 444
d: 444
d: 444
1: 463
d: 444
1: 449
1: 458
d: 444
1: 476
d: 444
1: 455
d: 444
1: 428
1: 428
d: 444
1: 428
d: 444
1: 449
d: 444
1: 428
d: 444
1: 476
d: 444
1: 428
d: 444
1: 422
d: 444
d: 444
1: 476
d: 444
1: 422
d: 444
1: 463
1: 428
d: 444
1: 449
d: 444
g: 12800
1: 428
1: 428
1: 463
t: 35573
--- 
q3: 1/6 
---
d: 222
d: 222
d: 222
d: 222
1: 666
d: 222
0: 196
1: 196
d: 222
1: 219
d: 222
1: 219
d: 222
1: 219
d: 222
1: 219
1: 214
d: 222
1: 258
1: 285
d: 222
1: 267
d: 222
1: 214
d: 222
0: 219
0: 219
d: 222
1: 219
d: 222
1: 232
d: 222
d: 222
1: 219
1: 232
d: 222
1: 219
d: 222
1: 202
d: 222
1: 214
d: 222
1: 219
d: 222
d: 222
1: 232
d: 222
1: 196
d: 222
1: 219
1: 267
d: 222
1: 247
d: 222
g: 12800
1: 219
1: 219
1: 267
t: 35285
--- 
q4: 3/6 
---
d: 111
d: 111
d: 111
1: 666
d: 111
0: 116
0: 116
0: 116
1: 116
1: 136
d: 116
1: 157
d: 116
0: 11
0: 11
0: 11
d: 123
0: 11
1: 11
d: 123
1: 178
d: 116
1: 157
1: 202
d: 116
d: 116
1: 95
d: 111
1: 116
d: 111
1: 71
0: 41
0: 41
d: 116
d: 116
1: 41
0: 142
1: 142
1: 74
d: 111
1: 169
d: 111
d: 111
d: 111
1: 68
d: 111
1: 95
d: 111
1: 264
d: 111
0: 142
1: 142
d: 111
1: 196
0: 71
1: 71
d: 111
g: 12608
1: 77
1: 157
0: 5
t: 54064
--- 
q5: 3/6 
---
d: 98
d: 98
d: 98
1: 666
d: 98
0: 136
1: 136
d: 98
1: 116
d: 98
1: 41
d: 98
1: 95
0: 116
1: 116
d: 89
d: 89
0: 11
1: 11
d: 89
1: 116
d: 84
1: 68
d: 78
0: 142
1: 142
d: 78
0: 136
0: 136
0: 136
1: 136
d: 89
0: 95
d: 98
1: 95
0: 71
1: 71
d: 98
0: 95
1: 95
d: 98
1: 127
1: 74
d: 84
1: 116
d: 78
d: 78
1: 95
d: 78
1: 95
d: 78
1: 202
0: 11
1: 11
d: 78
1: 116
d: 71
g: 12480
1: 68
1: 169
t: 48764
--- 
q6: 3/6 
--- 
# EOF
