---
# IPCG 3YP data file
# taes1g09@ecs.soton.ac.uk
---
q1: 1/4
q2: 1/4
---
---
d: 444
d: 444
d: 444
0: 666
1: 666
d: 444
0: 404
0: 404
0: 404
1: 404
d: 444
0: 449
1: 449
0: 476
0: 476
0: 476
1: 476
d: 444
0: 463
0: 463
1: 463
d: 444
0: 463
d: 444
1: 463
d: 444
d: 444
1: 463
d: 444
1: 392
d: 444
0: 404
1: 404
d: 444
1: 458
0: 449
1: 449
d: 444
1: 455
d: 444
0: 449
1: 449
d: 444
d: 444
1: 449
1: 463
d: 444
1: 428
d: 444
1: 428
d: 444
d: 444
0: 449
1: 449
0: 463
d: 444
1: 463
d: 444
1: 437
1: 428
d: 444
1: 463
d: 444
1: 497
d: 444
d: 444
1: 476
d: 444
g: 12672
0: 422
1: 422
1: 458
0: 455
1: 455
0: 449
t: 62992
---
q3: 3/6
---
d: 222
d: 222
1: 666
d: 222
0: 232
1: 232
d: 222
d: 222
1: 178
0: 196
d: 222
1: 196
1: 219
d: 222
0: 219
0: 219
0: 219
0: 219
1: 219
0: 219
d: 222
1: 219
d: 222
d: 222
1: 258
d: 222
0: 232
d: 222
1: 232
0: 219
0: 219
1: 219
d: 222
1: 219
0: 196
d: 222
0: 196
0: 196
1: 196
d: 222
1: 258
d: 222
0: 169
1: 169
d: 222
1: 232
d: 222
1: 232
d: 222
1: 219
d: 222
1: 219
d: 222
0: 232
0: 232
1: 232
d: 222
1: 202
d: 222
d: 222
g: 12544
1: 232
0: 219
1: 219
1: 285
t: 54886
---
q4: 3/6
---
d: 273
d: 273
d: 273
d: 273
1: 666
d: 273
d: 273
0: 285
0: 285
1: 285
0: 279
1: 279
1: 267
d: 276
0: 267
1: 267
d: 276
0: 264
1: 264
d: 276
0: 285
1: 285
d: 276
1: 258
d: 276
1: 306
d: 276
1: 258
d: 276
d: 276
1: 285
d: 273
1: 267
d: 273
1: 264
0: 249
0: 249
0: 249
0: 249
0: 249
0: 249
1: 249
d: 273
1: 267
d: 273
1: 306
d: 273
1: 285
1: 285
d: 273
d: 273
1: 285
d: 273
1: 258
d: 273
1: 285
1: 258
d: 267
d: 267
g: 12544
1: 258
0: 258
1: 258
0: 279
1: 279
t: 50538
---
q5: 3/6
---
d: 267
d: 267
d: 267
d: 267
1: 666
0: 258
1: 258
d: 273
1: 258
d: 267
1: 279
d: 267
1: 258
d: 260
1: 267
d: 260
0: 306
d: 267
1: 306
d: 260
0: 264
1: 264
d: 260
1: 249
1: 249
d: 260
1: 285
d: 233
d: 233
1: 267
d: 224
1: 258
1: 279
d: 224
1: 267
d: 218
1: 232
d: 218
d: 218
1: 258
d: 175
1: 232
1: 267
d: 175
1: 232
d: 175
0: 219
1: 219
d: 175
1: 232
0: 157
d: 175
1: 157
d: 153
1: 202
0: 157
d: 153
g: 12736
1: 157
1: 136
1: 232
t: 40157
---
q6: 2/6
---
# EOF
