---
# IPCG 3YP data file
# taes1g09@ecs.soton.ac.uk
---
q1: 4/4
q2: 4/4
---
---
d: 444
d: 444
d: 444
0: 666
1: 666
d: 444
0: 386
0: 386
1: 386
d: 444
1: 449
d: 444
1: 449
d: 444
1: 437
d: 444
d: 444
1: 463
d: 444
1: 392
1: 428
d: 444
d: 444
1: 449
1: 428
d: 444
1: 476
d: 444
1: 517
d: 444
1: 449
d: 444
d: 444
1: 476
d: 444
0: 458
1: 458
1: 463
d: 444
1: 422
1: 497
d: 444
1: 449
d: 444
d: 444
d: 444
1: 463
d: 444
1: 428
d: 444
1: 463
1: 449
d: 444
d: 444
1: 422
d: 444
g: 12608
1: 476
1: 428
1: 455
1: 508
t: 36751
---
q3: 4/6
---
d: 222
d: 222
d: 222
1: 666
d: 222
d: 222
0: 258
0: 258
1: 258
0: 247
d: 222
1: 247
1: 267
d: 222
1: 264
1: 219
d: 222
0: 219
0: 219
0: 219
d: 222
1: 219
d: 222
1: 169
1: 196
d: 222
1: 232
d: 222
1: 232
d: 222
d: 222
1: 196
d: 222
0: 232
d: 222
1: 232
0: 196
1: 196
d: 222
1: 202
d: 222
1: 258
d: 222
1: 202
0: 214
0: 214
0: 214
d: 222
1: 214
d: 222
1: 202
d: 222
g: 12544
1: 178
1: 232
1: 264
t: 48935
---
q4: 4/6
---
d: 129
d: 129
1: 666
d: 129
1: 116
d: 129
d: 129
0: 95
0: 95
1: 95
d: 129
0: 95
0: 95
1: 95
1: 136
d: 129
1: 169
d: 129
d: 129
1: 178
1: 169
d: 116
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
0: 71
1: 71
d: 246
d: 246
1: 116
d: 224
0: 95
0: 95
1: 95
d: 224
1: 219
d: 224
d: 224
1: 306
d: 224
1: 219
1: 219
d: 224
1: 169
d: 224
1: 219
d: 224
d: 224
0: 202
1: 202
0: 247
d: 224
1: 247
1: 219
0: 219
d: 224
g: 12608
1: 219
1: 219
t: 62587
---
q5: 5/6
---
d: 224
d: 224
d: 224
1: 666
d: 224
1: 247
d: 224
1: 169
d: 218
0: 214
d: 224
1: 214
0: 219
0: 219
0: 219
d: 224
1: 219
1: 169
d: 224
1: 232
d: 224
1: 247
d: 218
1: 202
d: 211
1: 157
d: 211
1: 196
d: 196
0: 202
d: 211
1: 202
1: 219
1: 219
d: 196
1: 196
d: 193
d: 193
1: 219
d: 193
1: 169
d: 153
1: 178
d: 133
0: 202
1: 202
d: 133
1: 214
d: 132
0: 142
1: 142
1: 157
d: 132
g: 13184
1: 202
1: 116
t: 43121
---
q6: 3/6
---
# EOF
